"source_folder","source_file","100%","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","Average Content Size","Average Response Time","Failure Count","Failures/s","Max Response Time","Median Response Time","Min Response Time","Name","Request Count","Requests/s","Type"
"mixed_large_10_run1","mixed_large_10_run1_stats.csv","9900","8900","9400","9500","9500","9900","9900","9900","9900","9900","9900","65.0","8956.879957146677","0","0.0","9864.851100021042","8900","7441.701600007946","DELETE /user/[email] [cleanup]","7","0.036917838559202026","DELETE"
"mixed_large_10_run1","mixed_large_10_run1_stats.csv","1100","840","860","880","890","940","960","1000","1000","1100","1100","1631.484375","847.7110421872567","0","0.0","1115.187200019136","840","744.7277999890503","GET /user/[email]","128","0.6750690479396942","GET"
"mixed_large_10_run1","mixed_large_10_run1_stats.csv","1200","1000","1000","1100","1100","1100","1200","1200","1200","1200","1200","56.0","1013.8505560616702","0","0.0","1203.1522000033874","1000","897.4221000098623","POST /auth/login","66","0.34808247784390484","POST"
"mixed_large_10_run1","mixed_large_10_run1_stats.csv","4600","4200","4200","4300","4600","4600","4600","4600","4600","4600","4600","65.0","4062.3762300005183","0","0.0","4579.250000009779","4100","3292.790799983777","POST /auth/signup [setup]","10","0.05273976937028861","POST"
"mixed_large_10_run1","mixed_large_10_run1_stats.csv","3600","2800","2900","2900","3000","3200","3300","3600","3600","3600","3600","1129.0","2819.246349151846","0","0.0","3596.578099997714","2800","2374.9797999917064","POST /user/[email]/description","59","0.3111646392847028","POST"
"mixed_large_10_run1","mixed_large_10_run1_stats.csv","7000","6200","6300","6400","6400","6600","6800","6900","7000","7000","7000","1126.0740740740741","6106.764132590507","0","0.0","6989.176300005056","6200","4134.976300003473","POST /user/[email]/profile-photo","135","0.7119868864988962","POST"
"mixed_large_10_run1","mixed_large_10_run1_stats.csv","9900","2600","4500","6100","6200","6400","6600","7000","8800","9900","9900","1067.3135802469135","3134.547566912959","0","0.0","9864.851100021042","2600","744.7277999890503","Aggregated","405","2.1359606594966887",""
"mixed_large_10_run2","mixed_large_10_run2_stats.csv","9700","9100","9200","9300","9400","9700","9700","9700","9700","9700","9700","65.0","8667.721522221756","0","0.0","9721.939200011548","9100","7285.071599995717","DELETE /user/[email] [cleanup]","9","0.04750612535860665","DELETE"
"mixed_large_10_run2","mixed_large_10_run2_stats.csv","1400","850","880","910","930","960","1000","1100","1100","1400","1400","1693.6883116883116","862.933492857219","0","0.0","1387.5820999965072","850","726.1739999812562","GET /user/[email]","154","0.8128825894694915","GET"
"mixed_large_10_run2","mixed_large_10_run2_stats.csv","1600","1000","1000","1100","1100","1100","1100","1200","1600","1600","1600","56.0","1029.8649486491765","0","0.0","1630.9073999873362","1000","900.514100008877","POST /auth/login","74","0.3906059196152102","POST"
"mixed_large_10_run2","mixed_large_10_run2_stats.csv","4600","4000","4200","4200","4200","4600","4600","4600","4600","4600","4600","65.0","3944.8781799990684","0","0.0","4559.5041999768","3800","3465.5581999977585","POST /auth/signup [setup]","10","0.05278458373178516","POST"
"mixed_large_10_run2","mixed_large_10_run2_stats.csv","3800","2800","2900","2900","3000","3200","3400","3800","3800","3800","3800","1129.0","2839.269381482154","0","0.0","3813.835300010396","2800","2339.3235000257846","POST /user/[email]/description","54","0.28503675215163987","POST"
"mixed_large_10_run2","mixed_large_10_run2_stats.csv","7800","6200","6300","6400","6500","6800","7000","7400","7600","7800","7800","1126.08","6125.025180800818","0","0.0","7765.952399990056","6200","3806.886999984272","POST /user/[email]/profile-photo","125","0.6598072966473145","POST"
"mixed_large_10_run2","mixed_large_10_run2_stats.csv","9700","1100","3500","5900","6100","6400","6800","7700","9100","9700","9700","1098.4342723004695","2923.7294220661406","0","0.0","9721.939200011548","1100","726.1739999812562","Aggregated","426","2.248623266974048",""
"mixed_large_10_run3","mixed_large_10_run3_stats.csv","10000","9700","9700","9800","9800","10000","10000","10000","10000","10000","10000","65.0","9005.7146166558","0","0.0","10331.482999987202","9300","7213.229399989359","DELETE /user/[email] [cleanup]","6","0.03156863841145721","DELETE"
"mixed_large_10_run3","mixed_large_10_run3_stats.csv","1600","840","870","890","900","930","1100","1200","1300","1600","1600","1678.5929203539822","859.0520654884332","0","0.0","1563.6621000012383","840","706.5380999993067","GET /user/[email]","113","0.5945426900824442","GET"
"mixed_large_10_run3","mixed_large_10_run3_stats.csv","1300","1000","1000","1000","1100","1100","1100","1200","1300","1300","1300","56.0","1014.8814175682255","0","0.0","1262.1487000142224","1000","913.0799999984447","POST /auth/login","74","0.3893465404079723","POST"
"mixed_large_10_run3","mixed_large_10_run3_stats.csv","4600","4200","4200","4400","4500","4600","4600","4600","4600","4600","4600","65.0","4076.876580005046","0","0.0","4637.327200005529","4000","3462.9188000108115","POST /auth/signup [setup]","10","0.05261439735242869","POST"
"mixed_large_10_run3","mixed_large_10_run3_stats.csv","3900","2900","3000","3000","3200","3200","3700","3900","3900","3900","3900","1129.0","2908.8979800020093","0","0.0","3893.861599994125","2900","2411.348099994939","POST /user/[email]/description","55","0.2893791854383578","POST"
"mixed_large_10_run3","mixed_large_10_run3_stats.csv","8700","6300","6400","6400","6500","6600","7000","7600","7800","8700","8700","1126.0735294117646","6145.637920587058","0","0.0","8683.576000010362","6300","3964.632999995956","POST /user/[email]/profile-photo","136","0.7155558039930302","POST"
"mixed_large_10_run3","mixed_large_10_run3_stats.csv","10000","2600","4600","6100","6200","6400","6600","7600","9300","10000","10000","1040.8781725888325","3205.0083956857293","0","0.0","10331.482999987202","2600","706.5380999993067","Aggregated","394","2.0730072556856904",""
"mixed_large_15_run1","mixed_large_15_run1_stats.csv","16000","14000","15000","15000","16000","16000","16000","16000","16000","16000","16000","65.0","13826.750511115986","0","0.0","15836.081000015838","14000","12218.571500008693","DELETE /user/[email] [cleanup]","9","0.04602514299612899","DELETE"
"mixed_large_15_run1","mixed_large_15_run1_stats.csv","1200","910","950","970","1000","1000","1100","1200","1200","1200","1200","1715.2038216560509","922.4805261136721","0","0.0","1220.9019000001717","910","717.1412999741733","GET /user/[email]","157","0.8028830500435834","GET"
"mixed_large_15_run1","mixed_large_15_run1_stats.csv","1200","1100","1100","1100","1100","1200","1200","1200","1200","1200","1200","56.0","1075.7339736103152","0","0.0","1231.0758999956306","1100","926.7154000117444","POST /auth/login","72","0.3682011439690319","POST"
"mixed_large_15_run1","mixed_large_15_run1_stats.csv","7100","5700","5800","6600","6900","7100","7100","7100","7100","7100","7100","65.0","5884.228126665887","0","0.0","7102.909500012174","5700","4312.6275000104215","POST /auth/signup [setup]","15","0.07670857166021498","POST"
"mixed_large_15_run1","mixed_large_15_run1_stats.csv","5400","3200","3400","3500","3800","3900","4100","4300","5400","5400","5400","1129.0","3284.957029730887","0","0.0","5366.352699988056","3200","2375.7613000052515","POST /user/[email]/description","74","0.37842895352372724","POST"
"mixed_large_15_run1","mixed_large_15_run1_stats.csv","11000","7000","7400","7800","8000","9100","10000","10000","11000","11000","11000","1126.0806451612902","7300.312024732095","0","0.0","10703.375800017966","7000","3968.181200005347","POST /user/[email]/profile-photo","186","0.9511862885866658","POST"
"mixed_large_15_run1","mixed_large_15_run1_stats.csv","16000","3000","6400","6800","7100","7900","9200","11000","13000","16000","16000","1106.970760233918","3968.6770409358223","0","0.0","15836.081000015838","3000","717.1412999741733","Aggregated","513","2.623433150779352",""
"mixed_large_15_run2","mixed_large_15_run2_stats.csv","14000","12000","12000","12000","13000","14000","14000","14000","14000","14000","14000","65.0","11735.42193333075","0","0.0","13709.052299993346","12000","10489.229200000409","DELETE /user/[email] [cleanup]","9","0.04653014581950045","DELETE"
"mixed_large_15_run2","mixed_large_15_run2_stats.csv","1400","910","950","970","990","1000","1100","1200","1200","1400","1400","1614.3684210526317","921.4002210514751","0","0.0","1364.0547999821138","910","732.5728999858256","GET /user/[email]","152","0.7858424627293409","GET"
"mixed_large_15_run2","mixed_large_15_run2_stats.csv","1500","1100","1100","1200","1200","1200","1300","1300","1400","1500","1500","56.0","1110.4868097107594","0","0.0","1476.7769000027329","1100","955.6277999945451","POST /auth/login","103","0.5325116688231718","POST"
"mixed_large_15_run2","mixed_large_15_run2_stats.csv","6700","5600","6300","6400","6500","6600","6700","6700","6700","6700","6700","65.0","5688.353433335821","0","0.0","6708.566300017992","5600","4730.380199995125","POST /auth/signup [setup]","15","0.07755024303250074","POST"
"mixed_large_15_run2","mixed_large_15_run2_stats.csv","4800","3200","3400","3500","3700","4100","4400","4500","4800","4800","4800","1129.0","3282.0161616430482","0","0.0","4822.59329999215","3200","2556.2338000163436","POST /user/[email]/description","73","0.3774111827581703","POST"
"mixed_large_15_run2","mixed_large_15_run2_stats.csv","9000","7000","7400","7700","7800","8300","8400","8600","8700","9000","9000","1126.0806451612902","6980.192184409124","0","0.0","9042.929899995215","7000","3822.9507000069134","POST /user/[email]/profile-photo","186","0.9616230136030093","POST"
"mixed_large_15_run2","mixed_large_15_run2_stats.csv","14000","2700","6000","6700","7000","7700","8300","8700","11000","14000","14000","1012.2304832713754","3686.39405204477","0","0.0","13709.052299993346","2700","732.5728999858256","Aggregated","538","2.7814687167656933",""
"mixed_large_15_run3","mixed_large_15_run3_stats.csv","16000","14000","15000","15000","15000","16000","16000","16000","16000","16000","16000","65.0","13932.081675000518","0","0.0","15763.066900020931","14000","11871.244899986777","DELETE /user/[email] [cleanup]","8","0.04092465742188842","DELETE"
"mixed_large_15_run3","mixed_large_15_run3_stats.csv","1300","890","940","960","980","1000","1100","1100","1200","1300","1300","1675.0594059405942","909.3313341594928","0","0.0","1263.1722999794874","890","740.9095000184607","GET /user/[email]","202","1.0333475999026827","GET"
"mixed_large_15_run3","mixed_large_15_run3_stats.csv","1300","1100","1100","1100","1200","1200","1300","1300","1300","1300","1300","56.0","1087.573274748983","0","0.0","1288.4786000067834","1100","952.5112000119407","POST /auth/login","99","0.5064426355958692","POST"
"mixed_large_15_run3","mixed_large_15_run3_stats.csv","7400","5900","5900","6600","7000","7200","7400","7400","7400","7400","7400","65.0","5949.591739995715","0","0.0","7390.2074999932665","5900","4623.70669998927","POST /auth/signup [setup]","15","0.07673373266604079","POST"
"mixed_large_15_run3","mixed_large_15_run3_stats.csv","4800","3000","3200","3300","3600","4300","4500","4700","4800","4800","4800","1129.0","3217.9698492733564","0","0.0","4779.096099984599","3000","2536.0360000049695","POST /user/[email]/description","69","0.35297517026378766","POST"
"mixed_large_15_run3","mixed_large_15_run3_stats.csv","9900","6900","7300","7800","8000","8900","9200","9600","9900","9900","9900","1126.0862068965516","7039.6769672408755","0","0.0","9946.460699982708","6900","3947.5782999943476","POST /user/[email]/profile-photo","174","0.8901112989260732","POST"
"mixed_large_15_run3","mixed_large_15_run3_stats.csv","16000","1200","4400","6500","6800","7500","8800","9600","13000","16000","16000","1092.1358024691358","3419.7511906526997","0","0.0","15763.066900020931","1200","740.9095000184607","Aggregated","567","2.900535094776342",""
"mixed_large_20_run1","mixed_large_20_run1_stats.csv","19000","17000","18000","18000","19000","19000","19000","19000","19000","19000","19000","65.0","16454.369285715595","0","0.0","18634.22450001235","16000","12836.153900017962","DELETE /user/[email] [cleanup]","14","0.07057851509461362","DELETE"
"mixed_large_20_run1","mixed_large_20_run1_stats.csv","1800","1100","1100","1100","1200","1200","1300","1400","1500","1800","1800","1700.0272727272727","1062.1294813631473","0","0.0","1798.8979000074323","1100","771.9827000109944","GET /user/[email]","220","1.1090909514867855","GET"
"mixed_large_20_run1","mixed_large_20_run1_stats.csv","1900","1200","1300","1300","1400","1400","1900","1900","1900","1900","1900","56.0","1257.2406757874169","0","0.0","1941.8276000069454","1200","978.1431000155862","POST /auth/login","95","0.478925638142021","POST"
"mixed_large_20_run1","mixed_large_20_run1_stats.csv","9000","7300","7900","8300","8500","8600","9000","9000","9000","9000","9000","65.0","7363.575474999379","0","0.0","9049.467400007416","7200","5624.341999995522","POST /auth/signup [setup]","20","0.10082645013516231","POST"
"mixed_large_20_run1","mixed_large_20_run1_stats.csv","6800","4100","4500","4700","4900","5200","5400","5600","6800","6800","6800","1129.0","4194.933760759444","0","0.0","6802.731500007212","4100","2784.175300010247","POST /user/[email]/description","79","0.39826447803389114","POST"
"mixed_large_20_run1","mixed_large_20_run1_stats.csv","13000","8900","9500","10000","10000","11000","11000","12000","13000","13000","13000","1126.0980392156862","8876.816625490284","0","0.0","12922.674300003564","8900","4288.394900009735","POST /user/[email]/profile-photo","204","1.0284297913786555","POST"
"mixed_large_20_run1","mixed_large_20_run1_stats.csv","19000","2800","6500","8300","8700","10000","11000","14000","17000","19000","19000","1108.3085443037974","4545.900930853986","0","0.0","18634.22450001235","2800","771.9827000109944","Aggregated","632","3.186115824271129",""
"mixed_large_20_run2","mixed_large_20_run2_stats.csv","18000","17000","17000","18000","18000","18000","18000","18000","18000","18000","18000","65.0","16177.796969999326","0","0.0","18287.04199998174","16000","13268.627700017532","DELETE /user/[email] [cleanup]","10","0.05050174269737135","DELETE"
"mixed_large_20_run2","mixed_large_20_run2_stats.csv","1600","1000","1100","1100","1100","1200","1300","1400","1500","1600","1600","1683.1818181818182","1031.7389957218015","0","0.0","1599.3840000010096","1000","767.805400013458","GET /user/[email]","187","0.9443825884408442","GET"
"mixed_large_20_run2","mixed_large_20_run2_stats.csv","1700","1200","1200","1300","1300","1300","1400","1500","1500","1700","1700","56.0","1213.4681155176027","0","0.0","1699.4954000110738","1200","1025.874599989038","POST /auth/login","116","0.5858202152895077","POST"
"mixed_large_20_run2","mixed_large_20_run2_stats.csv","9200","7300","7600","7800","8000","8800","9200","9200","9200","9200","9200","65.0","7115.611875000468","0","0.0","9225.551700015785","7200","5469.774900004268","POST /auth/signup [setup]","20","0.1010034853947427","POST"
"mixed_large_20_run2","mixed_large_20_run2_stats.csv","6900","3900","4300","4800","5100","5400","5800","6600","6900","6900","6900","1129.0","4096.713216842679","0","0.0","6858.688800013624","3900","2779.140099999495","POST /user/[email]/description","95","0.4797665556250278","POST"
"mixed_large_20_run2","mixed_large_20_run2_stats.csv","13000","8900","9600","10000","10000","11000","12000","12000","13000","13000","13000","1126.1015228426395","8804.760665481946","0","0.0","12726.490999979433","8900","4035.7234999828506","POST /user/[email]/profile-photo","197","0.9948843311382156","POST"
"mixed_large_20_run2","mixed_large_20_run2_stats.csv","18000","3000","5900","7900","8500","10000","11000","13000","15000","18000","18000","1043.6768","4418.421292000027","0","0.0","18287.04199998174","3000","767.805400013458","Aggregated","625","3.1563589185857093",""
"mixed_large_20_run3","mixed_large_20_run3_stats.csv","20000","16000","19000","20000","20000","20000","20000","20000","20000","20000","20000","65.0","17226.346415389206","0","0.0","19767.318099999102","16000","14390.868200018303","DELETE /user/[email] [cleanup]","13","0.0651659839402602","DELETE"
"mixed_large_20_run3","mixed_large_20_run3_stats.csv","1400","1000","1100","1100","1100","1200","1300","1400","1400","1400","1400","1640.4130434782608","1042.8205543476392","0","0.0","1429.236399999354","1000","758.7601999985054","GET /user/[email]","184","0.9223493111544522","GET"
"mixed_large_20_run3","mixed_large_20_run3_stats.csv","1600","1200","1300","1300","1300","1400","1500","1600","1600","1600","1600","56.0","1221.048474466946","0","0.0","1648.2970000070054","1200","988.669900019886","POST /auth/login","94","0.47120019156803533","POST"
"mixed_large_20_run3","mixed_large_20_run3_stats.csv","9700","7500","7800","8100","8100","9200","9700","9700","9700","9700","9700","65.0","7326.7753750042175","0","0.0","9731.890000024578","6800","5523.886899987701","POST /auth/signup [setup]","20","0.10025535990809263","POST"
"mixed_large_20_run3","mixed_large_20_run3_stats.csv","5500","4300","4600","4700","4900","5100","5300","5400","5500","5500","5500","1129.0","4236.861901073304","0","0.0","5480.65559999668","4300","2483.630100003211","POST /user/[email]/description","93","0.4661874235726307","POST"
"mixed_large_20_run3","mixed_large_20_run3_stats.csv","12000","9200","9700","10000","10000","11000","11000","11000","11000","12000","12000","1126.1005025125628","8985.916821609588","0","0.0","11785.816899995552","9200","4221.996000007493","POST /user/[email]/profile-photo","199","0.9975408310855216","POST"
"mixed_large_20_run3","mixed_large_20_run3_stats.csv","20000","3600","6700","8600","9200","10000","11000","14000","16000","20000","20000","1058.6003316749586","4741.892460696729","0","0.0","19767.318099999102","3600","758.7601999985054","Aggregated","603","3.0226991012289925",""
"mixed_large_5_run1","mixed_large_5_run1_stats.csv","7400","7400","7400","7400","7400","7400","7400","7400","7400","7400","7400","65.0","6951.0397750127595","0","0.0","7425.779700017301","7300","5740.459599997848","DELETE /user/[email] [cleanup]","4","0.021370688886197167","DELETE"
"mixed_large_5_run1","mixed_large_5_run1_stats.csv","890","780","800","810","810","840","850","870","890","890","890","1711.5217391304348","787.4102130476588","0","0.0","887.7236000262201","780","701.1602999991737","GET /user/[email]","69","0.36864438328690113","GET"
"mixed_large_5_run1","mixed_large_5_run1_stats.csv","1100","950","1000","1000","1000","1000","1100","1100","1100","1100","1100","56.0","972.1139459469595","0","0.0","1127.311299991561","950","903.2447000208776","POST /auth/login","37","0.1976788721973238","POST"
"mixed_large_5_run1","mixed_large_5_run1_stats.csv","3400","3100","3200","3200","3400","3400","3400","3400","3400","3400","3400","65.0","3136.461920000147","0","0.0","3372.1708999946713","3100","2913.452899985714","POST /auth/signup [setup]","5","0.02671336110774646","POST"
"mixed_large_5_run1","mixed_large_5_run1_stats.csv","2800","2700","2700","2700","2700","2700","2800","2800","2800","2800","2800","1129.0","2626.790900000742","0","0.0","2828.162699996028","2600","2355.2133000048343","POST /user/[email]/description","32","0.17096551108957733","POST"
"mixed_large_5_run1","mixed_large_5_run1_stats.csv","6500","5900","6000","6100","6200","6300","6300","6400","6500","6500","6500","1126.0757575757575","5802.062490908253","0","0.0","6526.181299996097","5900","4018.3594999834895","POST /user/[email]/profile-photo","66","0.35261636662225326","POST"
"mixed_large_5_run1","mixed_large_5_run1_stats.csv","7400","2400","3100","5700","5900","6100","6200","6400","7300","7400","7400","1085.4507042253522","2820.560669485193","0","0.0","7425.779700017301","2400","701.1602999991737","Aggregated","213","1.137989183189999",""
"mixed_large_5_run2","mixed_large_5_run2_stats.csv","5600","5600","5600","5600","5600","5600","5600","5600","5600","5600","5600","65.0","5400.831349994405","0","0.0","5602.343100006692","5200","5199.319599982118","DELETE /user/[email] [cleanup]","2","0.010791410862804225","DELETE"
"mixed_large_5_run2","mixed_large_5_run2_stats.csv","890","780","800","810","810","870","880","890","890","890","890","1752.88","786.8840260006255","0","0.0","893.8081000233069","780","695.3378999896813","GET /user/[email]","50","0.2697852715701056","GET"
