Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777019160,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777019163,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777019164,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777019165,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777019166,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777019167,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777019168,15,POST,POST /auth/signup [setup],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,5800,5827.758449988323,5789.677799999481,5865.8390999771655,65.0
1777019168,15,,Aggregated,0.000000,0.000000,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,2,0,5800,5827.758449988323,5789.677799999481,5865.8390999771655,65.0
1777019169,15,GET,GET /user/[email],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,853.6031999974512,967.281199991703,853.6031999974512,1080.959199985955,149.0
1777019169,15,POST,POST /auth/login,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1282.256199978292,1282.256199978292,1282.256199978292,1282.256199978292,56.0
1777019169,15,POST,POST /auth/signup [setup],0.000000,0.000000,5900,6300,6600,7000,7200,7400,7400,7400,7400,7400,7400,15,0,5900,5949.591739995715,4623.70669998927,7390.2074999932665,65.0
1777019169,15,,Aggregated,0.000000,0.000000,5800,5900,6300,6600,7200,7400,7400,7400,7400,7400,7400,18,0,5700,5136.705261105413,853.6031999974512,7390.2074999932665,73.83333333333333
1777019170,15,GET,GET /user/[email],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,0,900,968.2609833350094,853.6031999974512,1142.3269000079017,149.0
1777019170,15,POST,POST /auth/login,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,1282.256199978292,1182.1596333174966,1013.1997999851592,1282.256199978292,56.0
1777019170,15,POST,POST /auth/signup [setup],0.125000,0.000000,5900,6300,6600,7000,7200,7400,7400,7400,7400,7400,7400,15,0,5900,5949.591739995715,4623.70669998927,7390.2074999932665,65.0
1777019170,15,,Aggregated,0.125000,0.000000,5300,5800,5900,6300,7000,7200,7400,7400,7400,7400,7400,24,0,5300,4108.330037495762,853.6031999974512,7390.2074999932665,84.875
1777019171,15,GET,GET /user/[email],0.000000,0.000000,900,900,900,900,900,900,900,900,900,900,900,6,0,900,968.2609833350094,853.6031999974512,1142.3269000079017,149.0
1777019171,15,POST,POST /auth/login,0.000000,0.000000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,3,0,1282.256199978292,1182.1596333174966,1013.1997999851592,1282.256199978292,56.0
1777019171,15,POST,POST /auth/signup [setup],0.125000,0.000000,5900,6300,6600,7000,7200,7400,7400,7400,7400,7400,7400,15,0,5900,5949.591739995715,4623.70669998927,7390.2074999932665,65.0
1777019171,15,,Aggregated,0.125000,0.000000,5300,5800,5900,6300,7000,7200,7400,7400,7400,7400,7400,24,0,5300,4108.330037495762,853.6031999974512,7390.2074999932665,84.875
1777019172,15,GET,GET /user/[email],0.400000,0.000000,880,900,900,920,920,920,920,920,920,920,920,9,0,900,941.2116555613466,853.6031999974512,1142.3269000079017,149.0
1777019172,15,POST,POST /auth/login,0.300000,0.000000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,3,0,1282.256199978292,1182.1596333174966,1013.1997999851592,1282.256199978292,56.0
1777019172,15,POST,POST /auth/signup [setup],1.500000,0.000000,5900,6300,6600,7000,7200,7400,7400,7400,7400,7400,7400,15,0,5900,5949.591739995715,4623.70669998927,7390.2074999932665,65.0
1777019172,15,POST,POST /user/[email]/description,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,3098.5070999886375,3098.5070999886375,3098.5070999886375,3098.5070999886375,1129.0
1777019172,15,,Aggregated,2.200000,0.000000,4900,5700,5900,5900,7000,7200,7400,7400,7400,7400,7400,28,0,4600,3727.1345357117493,853.6031999974512,7390.2074999932665,129.03571428571428
1777019173,15,GET,GET /user/[email],0.400000,0.000000,880,880,900,900,920,920,920,920,920,920,920,10,0,880,926.5523000038229,794.6180999861099,1142.3269000079017,149.0
1777019173,15,POST,POST /auth/login,0.300000,0.000000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,3,0,1282.256199978292,1182.1596333174966,1013.1997999851592,1282.256199978292,56.0
1777019173,15,POST,POST /auth/signup [setup],1.500000,0.000000,5900,6300,6600,7000,7200,7400,7400,7400,7400,7400,7400,15,0,5900,5949.591739995715,4623.70669998927,7390.2074999932665,65.0
1777019173,15,POST,POST /user/[email]/description,0.000000,0.000000,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,1,0,3098.5070999886375,3098.5070999886375,3098.5070999886375,3098.5070999886375,1129.0
1777019173,15,POST,POST /user/[email]/profile-photo,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,4100,4324.603399989428,4084.8281999933533,4564.378599985503,1127.0
1777019173,15,,Aggregated,2.200000,0.000000,4600,5400,5900,5900,6600,7200,7400,7400,7400,7400,7400,31,0,4600,3671.083609673998,794.6180999861099,7390.2074999932665,194.06451612903226
1777019174,15,GET,GET /user/[email],0.800000,0.000000,880,880,900,900,920,920,920,920,920,920,920,11,0,880,917.0901727285872,794.6180999861099,1142.3269000079017,149.0
1777019174,15,POST,POST /auth/login,0.300000,0.000000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,3,0,1282.256199978292,1182.1596333174966,1013.1997999851592,1282.256199978292,56.0
1777019174,15,POST,POST /auth/signup [setup],1.500000,0.000000,5900,6300,6600,7000,7200,7400,7400,7400,7400,7400,7400,15,0,5900,5949.591739995715,4623.70669998927,7390.2074999932665,65.0
1777019174,15,POST,POST /user/[email]/description,0.100000,0.000000,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,2,0,2712.256400001934,2905.3817499952856,2712.256400001934,3098.5070999886375,1129.0
1777019174,15,POST,POST /user/[email]/profile-photo,0.000000,0.000000,4500,4500,4700,4700,4700,4700,4700,4700,4700,4700,4700,5,0,4500,4435.172759997658,4084.8281999933533,4676.594599994132,1127.0
1777019174,15,,Aggregated,2.700000,0.000000,4400,5300,5700,5900,6600,7200,7400,7400,7400,7400,7400,36,0,4400,3635.1381722189317,794.6180999861099,7390.2074999932665,296.52777777777777
1777019175,15,GET,GET /user/[email],1.000000,0.000000,880,880,900,900,920,920,920,920,920,920,920,11,0,880,917.0901727285872,794.6180999861099,1142.3269000079017,149.0
1777019175,15,POST,POST /auth/login,0.300000,0.000000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,4,0,1100,1151.8213499875856,1013.1997999851592,1282.256199978292,56.0
1777019175,15,POST,POST /auth/signup [setup],1.500000,0.000000,5900,6300,6600,7000,7200,7400,7400,7400,7400,7400,7400,15,0,5900,5949.591739995715,4623.70669998927,7390.2074999932665,65.0
1777019175,15,POST,POST /user/[email]/description,0.100000,0.000000,3000,3000,3100,3100,3100,3100,3100,3100,3100,3100,3100,3,0,3000,2939.6693666640203,2712.256400001934,3098.5070999886375,1129.0
1777019175,15,POST,POST /user/[email]/profile-photo,0.200000,0.000000,4500,4500,4700,4700,4700,4700,4700,4700,4700,4700,4700,6,0,4400,4367.510899998403,4029.201600002125,4676.594599994132,1127.0
1777019175,15,,Aggregated,3.100000,0.000000,4100,4900,5400,5900,6600,7200,7400,7400,7400,7400,7400,39,0,4100,3563.1596640995645,794.6180999861099,7390.2074999932665,333.0
1777019176,15,GET,GET /user/[email],1.000000,0.000000,880,880,900,900,920,920,920,920,920,920,920,12,0,880,902.4084500027433,740.9095000184607,1142.3269000079017,149.0
1777019176,15,POST,POST /auth/login,0.300000,0.000000,1100,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,5,0,1100,1117.230639985064,978.867799974978,1282.256199978292,56.0
1777019176,15,POST,POST /auth/signup [setup],1.500000,0.000000,5900,6300,6600,7000,7200,7400,7400,7400,7400,7400,7400,15,0,5900,5949.591739995715,4623.70669998927,7390.2074999932665,65.0
1777019176,15,POST,POST /user/[email]/description,0.200000,0.000000,3000,3000,3100,3100,3100,3100,3100,3100,3100,3100,3100,4,0,2700,2879.392924995045,2698.5635999881197,3098.5070999886375,1129.0
1777019176,15,POST,POST /user/[email]/profile-photo,0.500000,0.000000,4400,4400,4500,4500,4700,4700,4700,4700,4700,4700,4700,8,0,4300,4340.68466250028,4029.201600002125,4676.594599994132,1127.0
1777019176,15,,Aggregated,3.500000,0.000000,4000,4600,5300,5700,6300,7000,7400,7400,7400,7400,7400,44,0,4000,3452.317720451736,740.9095000184607,7390.2074999932665,376.70454545454544
1777019177,15,GET,GET /user/[email],1.000000,0.000000,880,880,900,900,920,920,920,920,920,920,920,12,0,880,902.4084500027433,740.9095000184607,1142.3269000079017,149.0
1777019177,15,POST,POST /auth/login,0.300000,0.000000,1100,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,5,0,1100,1117.230639985064,978.867799974978,1282.256199978292,56.0
1777019177,15,POST,POST /auth/signup [setup],1.500000,0.000000,5900,6300,6600,7000,7200,7400,7400,7400,7400,7400,7400,15,0,5900,5949.591739995715,4623.70669998927,7390.2074999932665,65.0
1777019177,15,POST,POST /user/[email]/description,0.200000,0.000000,3000,3000,3100,3100,3100,3100,3100,3100,3100,3100,3100,4,0,2700,2879.392924995045,2698.5635999881197,3098.5070999886375,1129.0
1777019177,15,POST,POST /user/[email]/profile-photo,0.500000,0.000000,4400,4400,4500,4500,4700,4700,4700,4700,4700,4700,4700,8,0,4300,4340.68466250028,4029.201600002125,4676.594599994132,1127.0
1777019177,15,,Aggregated,3.500000,0.000000,4000,4600,5300,5700,6300,7000,7400,7400,7400,7400,7400,44,0,4000,3452.317720451736,740.9095000184607,7390.2074999932665,376.70454545454544
1777019178,15,GET,GET /user/[email],1.100000,0.000000,860,880,880,900,920,920,920,920,920,920,920,14,0,860,888.2014500018807,740.9095000184607,1142.3269000079017,276.14285714285717
1777019178,15,POST,POST /auth/login,0.500000,0.000000,1100,1200,1300,1300,1300,1300,1300,1300,1300,1300,1300,8,0,1100,1114.0393999885418,978.867799974978,1282.256199978292,56.0
1777019178,15,POST,POST /auth/signup [setup],1.500000,0.000000,5900,5900,6300,6300,6300,6300,6300,6300,6300,6300,6300,15,0,5900,5949.591739995715,4623.70669998927,7390.2074999932665,65.0
1777019178,15,POST,POST /user/[email]/description,0.400000,0.000000,2900,3000,3000,3000,3100,3100,3100,3100,3100,3100,3100,7,0,2900,2874.7852857133175,2698.5635999881197,3098.5070999886375,1129.0
1777019178,15,POST,POST /user/[email]/profile-photo,0.800000,0.000000,4300,4400,4500,4500,4700,4700,4700,4700,4700,4700,4700,9,0,4300,4317.97008889003,4029.201600002125,4676.594599994132,1127.0
